, -395792
27170, -318368
27190, -318339
27200, -318310
27220, -318277
27240, -318250
27250, -318218
27270, -318190
27290, -318160
27300, -318129
27320, -318101
27340, -318068
27350, -318040
27370, -318011
27390, -317978
27400, -317950
27420, -317916
27440, -317883
27450, -317855
27470, -317822
27490, -317790
27500, -317760
27520, -317728
27540, -317698
27550, -317665
27570, -317633
27590, -317602
27600, -317571
27620, -317542
27640, -317509
27650, -317475
27670, -317446
27690, -317412
27700, -317380
27720, -317351
27740, -317317
27750, -317287
27770, -317256
27790, -317220
27800, -317193
27820, -317161
27840, -317124
27850, -317094
27870, -317060
27890, -317022
27900, -316992
27920, -316960
27940, -316922
27950, -316890
27970, -316855
27990, -316816
28000, -316782
28020, -316751
28040, -316713
28050, -316678
28070, -316644
28090, -316608
28100, -316575
28120, -316544
28140, -316508
28150, -316475
28170, -316443
28190, -316407
28200, -316374
28220, -316343
28240, -316306
28250, -316273
28270, -316241
28280, -316208
28300, -316173
28320, -316141
28330, -316109
28350, -316073
28370, -316040
28380, -316007
28400, -315972
28420, -315940
28430, -315907
28450, -315871
28470, -315838
28480, -315806
28500, -315770
28520, -315735
28530, -315702
28550, -315665
28570, -315630
28580, -315596
28600, -315562
28620, -315524
28630, -315490
28650, -315456
28670, -315420
28680, -315384
28700, -315350
28720, -315316
28730, -315278
28750, -315245
28770, -315210
28780, -315176
28800, -315143
28820, -315112
28830, -315075
28850, -315042
28870, -315008
28880, -314970
28900, -314934
28920, -314902
28930, -314866
28950, -314829
28970, -314795
28980, -314762
29000, -314727
29020, -314695
29030, -314662
29050, -314626
29070, -314592
29080, -314558
29100, -314522
29120, -314484
29130, -314453
29150, -314417
29170, -314380
29180, -314346
29200, -314313
29220, -314275
29230, -314240
29250, -314206
29270, -314171
29280, -314136
29300, -314101
29320, -314065
29330, -314030
29350, -313996
29370, -313962
29380, -313925
29400, -313889
29420, -313856
29430, -313820
29450, -313783
29470, -313749
29480, -313716
29500, -313678
29520, -313643
29530, -313610
29550, -313575
29570, -313538
29580, -313505
29600, -313469
29620, -313432
29630, -313400
29650, -313365
29670, -313326
29680, -313293
29700, -313260
29720, -313221
29730, -313187
29750, -313155
29770, -313117
29780, -313081
29800, -313047
29820, -313012
29830, -312977
29850, -312943
29870, -312906
29880, -312871
29900, -312836
29920, -312800
29930, -312767
29950, -312730
29970, -312695
29980, -312662
30000, -312625
30020, -312587
30030, -312558
30050, -312522
30070, -312481
30080, -312451
30100, -312416
30120, -312376
30130, -312346
30150, -312311
30170, -312271
