Status, Fx, Fy, Fz, Tx, Ty, Tz, Time
 0x00000000, -12174338, -5137561, -27421380, 78191, 186274, -264366,21296.2241211
 0x00000000, -12167568, -5131231, -27427702, 78093, 186101, -264651,21372.0107422
 0x00000000, -12166052, -5124476, -27424588, 78093, 186017, -264462,21448.6870117
 0x00000000, -12174684, -5129786, -27411776, 78245, 186208, -264471,21525.2819824
 0x00000000, -12171237, -5125927, -27417068, 78468, 186094, -264553,21601.8049316
 0x00000000, -12172579, -5125232, -27415416, 78290, 185877, -264561,21678.1821289
 0x00000000, -12172654, -5130804, -27415884, 78435, 186050, -264388,21754.0161133
 0x00000000, -12167071, -5130522, -27419822, 78034, 186220, -264230,21830.3669434
 0x00000000, -12165161, -5125177, -27413228, 78278, 185980, -264365,21907.3430176
 0x00000000, -12167721, -5127865, -27416244, 78471, 186162, -264435,21984.0119629
 0x00000000, -12167419, -5135325, -27421156, 78081, 186138, -264331,22060.1989746
 0x00000000, -12166556, -5131802, -27415760, 78036, 186048, -264488,22136.4829102
 0x00000000, -12163994, -5128157, -27413132, 78286, 185984, -264274,22215.677002
 0x00000000, -12176056, -5124945, -27413028, 78479, 186278, -264494,22291.9980469
 0x00000000, -12170784, -5130245, -27412602, 78331, 185925, -264279,22368.0700684
 0x00000000, -12166995, -5128957, -27420572, 78079, 186031, -264603,22443.8928223
 0x00000000, -12163106, -5130013, -27405464, 78175, 186034, -264307,22530.723877
 0x00000000, -12175935, -5137182, -27412068, 78369, 186110, -264290,22606.7990723
 0x00000000, -12169904, -5124559, -27410306, 78445, 186106, -264270,22682.9499512
 0x00000000, -12162953, -5125137, -27411724, 78173, 186087, -264498,22759.0258789
 0x00000000, -12175162, -5126835, -27403338, 78312, 186046, -264487,22834.9101562
 0x00000000, -12165036, -5128917, -27417024, 78186, 186000, -264391,22911.4528809
 0x00000000, -12170680, -5130000, -27412736, 78407, 186168, -264194,22987.5229492
 0x00000000, -12168503, -5127129, -27421078, 78360, 186106, -264374,23064.1560059
 0x00000000, -12166174, -5128752, -27411864, 78390, 185718, -264523,23140.4299316
 0x00000000, -12170359, -5126638, -27416436, 78586, 186025, -264356,23218.5029297
 0x00000000, -12169933, -5121589, -27423168, 78086, 186018, -264471,23296.3608398
 0x00000000, -12171856, -5126287, -27421752, 78368, 186108, -264557,23372.848877
 0x00000000, -12164708, -5132039, -27420312, 78324, 186106, -264203,23449.1970215
 0x00000000, -12171424, -5127243, -27423370, 78270, 185893, -264280,23524.7680664
 0x00000000, -12162351, -5124354, -27420528, 78357, 185925, -264363,23601.1518555
 0x00000000, -12172453, -5127321, -27422734, 78151, 186162, -264784,23677.1379395
 0x00000000, -12170465, -5131658, -27427770, 77998, 186019, -264299,23753.230957
 0x00000000, -12163187, -5134844, -27437840, 78004, 185933, -264560,23828.9919434
 0x00000000, -12160468, -5120052, -27440064, 78364, 185961, -264576,23905.1459961
