Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -11067781, -4697994, -33130432, 58644, 197794, -152928,26952, 
0x00000000, -11052626, -4683324, -32963056, 59157, 198066, -153032,27096, 
0x00000000, -11021303, -4642525, -32853554, 59025, 197793, -153493,27239, 
0x00000000, -11045264, -4702879, -32701360, 59434, 198312, -153064,27390, 
0x00000000, -11035817, -4722370, -32512912, 59451, 198026, -152948,27543, 
0x00000000, -10964775, -4634099, -32379676, 59745, 198494, -152992,27690, 
0x00000000, -10957406, -4675198, -32231264, 60116, 198921, -153235,27837, 
0x00000000, -10988865, -4683505, -32074856, 60174, 199163, -153226,27982, 
0x00000000, -10945084, -4696680, -31936032, 60676, 199434, -153232,28127, 
0x00000000, -10937097, -4683412, -31791092, 60961, 199691, -152967,28275, 
0x00000000, -10935558, -4694329, -31636640, 61726, 200281, -153077,28421, 
0x00000000, -10902753, -4673359, -31491236, 61990, 200796, -153005,28577, 
0x00000000, -10903359, -4683282, -31340976, 62647, 201535, -153147,28721, 
0x00000000, -10886957, -4686057, -31236640, 63183, 202024, -153067,28866, 
0x00000000, -10882179, -4685579, -31122040, 63964, 202589, -153158,29009, 
0x00000000, -10866704, -4678679, -31018192, 64232, 202933, -153009,29160, 
0x00000000, -10865010, -4684631, -30929422, 64516, 203751, -153035,29306, 
0x00000000, -10856476, -4675649, -30881652, 65000, 203966, -153424,29451, 
0x00000000, -10858727, -4678383, -30875774, 64864, 203882, -153319,29600, 
0x00000000, -10857370, -4676425, -30887124, 64984, 204177, -153063,29751, 
0x00000000, -10854606, -4673228, -30882776, 65079, 204053, -153088,29940, 
0x00000000, -10852037, -4674569, -30867286, 64860, 203896, -153018,30091, 
0x00000000, -10860438, -4672799, -30876348, 65105, 204184, -153394,30240, 
0x00000000, -10857576, -4683089, -30879220, 64934, 203819, -153003,30385, 
0x00000000, -10859581, -4676455, -30879078, 65081, 203884, -153270,30529, 
0x00000000, -10855137, -4674239, -30863144, 65099, 203945, -153400,30678, 
0x00000000, -10855891, -4674917, -30868916, 64884, 203871, -153255,30829, 
0x00000000, -10862660, -4675819, -30865464, 65109, 203933, -153202,30974, 
0x00000000, -10863413, -4671842, -30863920, 64824, 203920, -153040,31121, 
0x00000000, -10855030, -4673709, -30861290, 64974, 203656, -153110,31274, 
0x00000000, -10856355, -4676752, -30868048, 64730, 203575, -153270,31417, 
0x00000000, -10853100, -4677145, -30872524, 64856, 203484, -153124,31561, 
0x00000000, -10848578, -4677964, -30869332, 64784, 203642, -153339,31705, 
0x00000000, -10854397, -4671582, -30863240, 64946, 203556, -153394,31850, 
0x00000000, -10860798, -4672308, -30860842, 65092, 203646, -153197, 1645118256944, 
