Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -10881578, -4355018, -34169232, 70094, 228962, -152116,30060, 
0x00000000, -10984601, -4398627, -34130964, 69809, 228622, -152763,30203, 
0x00000000, -11066494, -4431359, -34102836, 69755, 228222, -153266,30348, 
0x00000000, -11019341, -4407003, -34075532, 69845, 228177, -152744,30497, 
0x00000000, -11050375, -4456832, -34048904, 69488, 227954, -153185,30648, 
0x00000000, -11074623, -4529998, -34016880, 69823, 227650, -153938,30798, 
0x00000000, -11072833, -4524700, -33943144, 69333, 227012, -154141,30947, 
0x00000000, -11057667, -4506361, -33815072, 69359, 226257, -153819,31197, 
0x00000000, -11022567, -4548482, -33633512, 68833, 224474, -154177,31344, 
0x00000000, -11019907, -4559316, -33528474, 68559, 223918, -153911,31490, 
0x00000000, -11014725, -4599801, -33435170, 68453, 223207, -154486,31637, 
0x00000000, -11020758, -4607803, -33344614, 68459, 222603, -154893,31782, 
0x00000000, -11029534, -4617041, -33231478, 68184, 221665, -154789,31932, 
0x00000000, -11043762, -4632243, -33134976, 67830, 221268, -154499,32075, 
0x00000000, -11011198, -4541171, -33071916, 67697, 220518, -153805,32218, 
0x00000000, -10923265, -4480972, -32984524, 67414, 219839, -153445,32368, 
0x00000000, -10967350, -4596449, -32894648, 67368, 219230, -154492,32512, 
0x00000000, -10993490, -4578299, -32791702, 67184, 218312, -154017,32657, 
0x00000000, -10940317, -4541986, -32686856, 67035, 217724, -153996,32804, 
0x00000000, -10963962, -4576730, -32575924, 66707, 216789, -154036,32948, 
0x00000000, -10904754, -4556806, -32467852, 66538, 215636, -153931,33090, 
0x00000000, -10927626, -4581606, -32361614, 66398, 214879, -154316,33234, 
0x00000000, -10869758, -4522076, -32251208, 66330, 213792, -153906,33378, 
0x00000000, -10903694, -4551178, -32117524, 66078, 212658, -154032,33520, 
0x00000000, -10893796, -4549991, -32018252, 65980, 212150, -153893,33666, 
0x00000000, -10882906, -4552213, -31897510, 66074, 211021, -153658,33810, 
0x00000000, -10861240, -4547922, -31802132, 65560, 210299, -153884,33954, 
0x00000000, -10858048, -4547509, -31698544, 65467, 209153, -153928,34099, 
0x00000000, -10831689, -4537540, -31575256, 65582, 208219, -153636,34243, 
0x00000000, -10820779, -4513207, -31470080, 65176, 207243, -153475,34389, 
0x00000000, -10809030, -4524531, -31377386, 65110, 206610, -153756,34534, 
0x00000000, -10805088, -4541847, -31283576, 63946, 206312, -153374,34679, 
0x00000000, -10798550, -4540271, -31212248, 64317, 205550, -153528,34823, 
0x00000000, -10786851, -4543067, -31127348, 64402, 204992, -153736,34968, 
0x00000000, -10779888, -4522346, -31070134, 64489, 204380, -153805,35112, 
0x00000000, -10776095, -4517892, -30990686, 64647, 203809, -153468,35257, 
0x00000000, -10764325, -4521496, -30905268, 64354, 203495, -153419,35400, 
0x00000000, -10765313, -4526129, -30841944, 64116, 203138, -153588,35546, 
0x00000000, -10758423, -4530446, -30846800, 64379, 202934, -153683,35691, 
0x00000000, -10764746, -4527686, -30848324, 64144, 202860, -153681,35837, 
0x00000000, -10761606, -4520253, -30854536, 64338, 202756, -153777,35987, 
0x00000000, -10763708, -4527911, -30853772, 64212, 202862, -153642,36130, 
0x00000000, -10763909, -4524459, -30833974, 64267, 202835, -153711,36277, 
0x00000000, -10755681, -4527201, -30850232, 64165, 202855, -153817,36422, 
0x00000000, -10770383, -4526767, -30843504, 64217, 202947, -153511,36564, 
0x00000000, -10760107, -4527951, -30847130, 64107, 203010, -153621,36709, 
0x00000000, -10758377, -4519538, -30849480, 64402, 203123, -153659,36853, 
0x00000000, -10765354, -4513963, -30842444, 64465, 202862, -153801,36994, 
0x00000000, -10759706, -4528317, -30841116, 64326, 202811, -153657,37136, 
0x00000000, -10765099, -4525947, -30843576, 64209, 203083, -153842,37287, 
0x00000000, -10763262, -4528004, -30836776, 63889, 203117, -153629,37432, 
0x00000000, -10765587, -4522473, -30852200, 64392, 203092, -153471,37575, 
0x00000000, -10770328, -4521838, -30837184, 64059, 203120, -153519,37717, 
0x00000000, -10755636, -4522834, -30838616, 64068, 203044, -153358,37859, 
0x00000000, -10764982, -4520638, -30841176, 64393, 203152, -153568,38001, 
0x00000000, -10757310, -4521467, -30841612, 64027, 202911, -153826,38143, 
0x00000000, -10760065, -4517921, -30840448, 64289, 203362, -153509,38285, 
0x00000000, -10765866, -4525615, -30842368, 64199, 203010, -153548,38427, 
0x00000000, -10761576, -4523805, -30845508, 64083, 203193, -153515,38571, 
0x00000000, -10762935, -4524270, -30840334, 64019, 203155, -153794,38713, 
0x00000000, -10765044, -4527377, -30842852, 64083, 203058, -153675,38854, 
0x00000000, -10767815, -4519401, -30829858, 64202, 203031, -153625,39003, 
0x00000000, -10762479, -4521754, -30840528, 63929, 203216, -153533, 1645114654521, 
